﻿spotifyURI,trackName,artistName,albumName,discNumber,trackNumber,trackDuration,addedBy,addedAt
"spotify:track:6hs3SDnbO3f6VQuPO4KBEb","Send Me on My Way","Rusted Root","Music From Party of Five","1","13","263333","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:6IIjmqaDdO6vdEBasXsCve","Sweet Disposition","The Temper Trap","Sweet Disposition","1","1","234680","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:6ZapsNk1ZpaebNXAIohP9R","Home","Edward Sharpe & The Magnetic Zeros","Up From Below","1","6","303200","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Dreams - 2004 Remaster","Fleetwood Mac","Rumours (Super Deluxe)","1","2","257800","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:4TBBPZks71c60whhq0PgdP","(Your Love Keeps Lifting Me) Higher & Higher","Jackie Wilson","The Ultimate Jackie Wilson","2","1","181066","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:1m3PvavCMvctVLbh24McmP","How Sweet It Is (To Be Loved By You)","Jr. Walker & The All Stars","Road Runner","1","2","182440","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:7eLDSFTG6bJGZsYAF3LTv4","Higher Love - Single Version","Steve Winwood","Pure '80s: #1s","1","6","256040","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:6shRGWCtBUOPFLFTTqXZIC","Upside Down","Jack Johnson","Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George","1","1","208653","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:2CzWeyC9zlDpIOZPUUKrBW","1234","Feist","The Reminder","1","9","183666","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:0qxYx4F3vm1AOnfux6dDxP","You Can Call Me Al","Paul Simon","Graceland (25th Anniversary Deluxe Edition)","1","6","280000","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:7HX9f8AMBl0vQxAoAzLqhS","You Make My Dreams - Remastered","Daryl Hall & John Oates","The Very Best of Daryl Hall / John Oates","1","7","187600","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:0ZZbKNLGRNHs93FhNebPFH","Soul Connection","Diplomats of Solid Sound, The Diplomettes","S/t","1","6","149293","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:4VywXu6umkIQ2OS0m1I79y","Better Together","Jack Johnson","In Between Dreams","1","1","207680","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:0ACACkoHUwgfgY5CxVIL4N","Lovely Day","Bill Withers","Lean on Me: The Best of Bill Withers","1","10","255066","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:2nGFzvICaeEWjIrBrL2RAx","Put Your Records On","Corinne Bailey Rae","Corinne Bailey Rae","1","3","215360","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:2g2GkH3vZHk4lWzBjgQ6nY","(What A) Wonderful World","Sam Cooke","The Man Who Invented Soul","1","21","125440","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:4JGKZS7h4Qa16gOU3oNETV","Dreams","The Cranberries","Everybody Else Is Doing It, So Why Can't We?","1","2","271560","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:0BgbobvykXxEvxo2HhCuvM","Banana Pancakes","Jack Johnson","In Between Dreams","1","3","191906","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:4dyx5SzxPPaD8xQIid5Wjj","Young Folks","Peter Bjorn and John","Writer's Block","1","3","276693","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:6UBjSnyP1O5W5ndJoO9vUk","Night Moves","Bob Seger","Night Moves","1","2","324422","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:3gdewACMIVMEWVbyb8O9sY","Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John","Honky Chateau","1","5","281613","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:6dGnYIeXmHdcikdzNNDMm2","Here Comes The Sun - Remastered 2009","The Beatles","Abbey Road (Remastered)","1","7","185733","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:1Cwsd5xI8CajJz795oy4XF","You Get What You Give","New Radicals","Maybe You've Been Brainwashed Too","1","2","300773","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:5ihS6UUlyQAfmp48eSkxuQ","Landslide","Fleetwood Mac","Fleetwood Mac","1","8","199493","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:4YUlGNZfYA6EUE5KDsGqpC","You Can't Hurry Love","Phil Collins","Hello, I Must Be Going","1","5","175346","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:0PDCewmZCp0P5s00bptcdd","This Will Be (An Everlasting Love)","Natalie Cole","Inseparable","1","5","171960","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:7mnGQesk1TzQLzQ9bYWZPR","She's so High","Tal Bachman","Tal Bachman","1","2","224693","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:2TVxnKdb3tqe1nhQWwwZCO","Tiny Dancer","Elton John","Madman Across The Water","1","1","377093","spotify:user:","2018-10-03T18:22:35Z"
